Strategy,Ann Ret,Ann Vol,Sharpe,Max DD,Turnover
VMP(MDP(LW)),0.1490878311528443,0.05808365780611213,2.4222215001683574,-0.048445164704808544,
MSR(RF_μ̂),0.20891688598648783,0.08061753770142042,2.394466858453879,-0.06834761437126227,
SignalTilt(XGB),0.7067568513864679,0.2451618852762958,2.304061855831894,-0.22634999217595997,0.02568488415167447
MSR(Lasso_μ̂),0.21800517548715814,0.08857671847566441,2.2715162709944305,-0.11616717048780548,
SignalTilt(RF),0.6194111140824536,0.22548699992782648,2.2520024928868314,-0.32584719200424944,0.10193588161978835
MSR(XGB_μ̂),0.07656058137103505,0.03411068697633105,2.1800399108129755,-0.026274751347843062,
SignalTilt(Lasso),0.467216739106312,0.18746028099451845,2.139852197408594,-0.22810940690356699,0.10612784520169008
SWITCH(v2a),0.18962279790880765,0.08378947098045707,2.114334439916281,-0.05710481448346109,
EW,0.22197863191803946,0.10093135809435709,2.0373184002405247,-0.1216037225623238,0.0
MSR(LW),0.2717601938056988,0.1329776272318986,1.8748169362782718,-0.14097831332491215,
SignalTilt(mom_252),0.5009836488389761,0.25688100140087866,1.7111431039778915,-0.20866864169529156,
