,Ann Ret,Ann Vol,Sharpe,Max DD,Family
MSR(Ensemble_μ̂),0.1660872541180118,0.0602891310367625,2.5794640246181704,-0.0591598928907408,ML (ensemble)
VMP(MDP(LW)),0.1490878311528443,0.0580836578061121,2.422221500168358,-0.0484451647048085,Classical
MSR(RF_μ̂),0.2089168859864878,0.0806175377014204,2.394466858453879,-0.0683476143712622,ML (single-fit)
MSR(MLP_μ̂),0.2305761584279324,0.0886400766880133,2.3857010805482757,-0.0930409755898222,DL (single-fit)
SignalTilt(XGB),0.7067568513864679,0.2451618852762958,2.304061855831894,-0.2263499921759599,ML (single-fit)
VMP(SignalTilt(XGB)),0.7196939038829706,0.2502097147062355,2.292477590981001,-0.2051556691009184,ML + VMP
MSR(Lasso_μ̂),0.2180051754871581,0.0885767184756644,2.2715162709944305,-0.1161671704878054,ML (single-fit)
SignalTilt(Transformer),0.5137256052467225,0.1906669669627288,2.270855361089416,-0.2208277089228949,DL (single-fit)
MSR(Transformer_μ̂),0.2259888357385759,0.0917107419638117,2.2682684028699356,-0.1145542303212727,DL (single-fit)
SignalTilt(EnsembleDL_weighted),0.5704617833242849,0.2089591372177427,2.265787344213052,-0.2437445058204914,DL (weighted ensemble)
VMP(MSR(Lasso_μ̂)),0.2267118618165922,0.0925368213070852,2.2552917576174183,-0.0982374148996048,ML + VMP
SignalTilt(MLP),0.646442471451895,0.2334346145711691,2.2540002868344255,-0.2709370730441761,DL (single-fit)
SignalTilt(RF),0.6194111140824536,0.2254869999278264,2.2520024928868314,-0.3258471920042494,ML (single-fit)
MSR(EnsembleDL_μ̂_weighted),0.2396094805544704,0.0995762174198384,2.2075710965186786,-0.1295566696260059,DL (weighted ensemble)
VMP(SignalTilt(RF)),0.6075496924459405,0.2278448326543319,2.198938154807291,-0.2817907451084231,ML + VMP
MSR(EnsembleDL_μ̂),0.2406965833396663,0.1010804258455443,2.18488566664006,-0.1321322814880322,DL (ensemble)
SignalTilt(Ensemble),0.5477219758317635,0.2103593727762119,2.1827083759112735,-0.3007029498173383,ML (ensemble)
MSR(XGB_μ̂),0.076560581371035,0.034110686976331,2.1800399108129755,-0.026274751347843,ML (single-fit)
VMP(MSR(RF_μ̂)),0.1957369827204489,0.0837503002218672,2.1770799252211432,-0.0715469219074188,ML + VMP
SignalTilt(LSTM),0.528884589872403,0.2054604129724148,2.170037951050858,-0.2459213615860588,DL (single-fit)
SignalTilt(Lasso),0.467216739106312,0.1874602809945184,2.139852197408594,-0.2281094069035669,ML (single-fit)
SWITCH(v2a),0.1896227979088076,0.083789470980457,2.114334439916281,-0.057104814483461,Classical
MSR(LSTM_μ̂),0.2497204625223377,0.1089718426439838,2.100797360413671,-0.1401971589496882,DL (single-fit)
EW,0.2219786319180394,0.100931358094357,2.0373184002405247,-0.1216037225623238,Classical
SignalTilt(WF-lasso-default),0.5516459466925776,0.229047610761343,2.0334579038020433,-0.2312253279995068,Walk-forward (default HPs)
"RL(REINFORCE,lam=0.00)",0.2205,0.1009,2.0256,-0.1216,RL (REINFORCE)
"RL(REINFORCE,lam=0.02)",0.2205,0.1009,2.0255,-0.1216,RL (REINFORCE)
SignalTilt(WF-lasso-val_optimal),0.5655190802677068,0.2376021191221731,2.006474508533661,-0.2289523209387866,Walk-forward (val-optimal HPs)
VMP(MSR(XGB_μ̂)),0.0750104183093665,0.0364125386091343,2.004881723728551,-0.0258750646264362,ML + VMP
VMP(SignalTilt(Lasso)),0.4486470143513492,0.1951397353265533,1.9980328433703036,-0.1844680655225175,ML + VMP
MSR(WF-lasso-default_μ̂),0.2455845121377735,0.1137898352803999,1.9874493691362536,-0.1411367510659875,Walk-forward (default HPs)
MSR(WF-xgb-default_μ̂),0.2383269848002915,0.1108851497563409,1.983668918107715,-0.0967887717257389,Walk-forward (default HPs)
MSR(WF-rf-default_μ̂),0.2483501661429277,0.1197423110485024,1.9130357122166792,-0.1044534212700563,Walk-forward (default HPs)
MSR(LW),0.2717601938056988,0.1329776272318986,1.874816936278272,-0.1409783133249121,Classical
SignalTilt(WF-xgb-val_optimal),0.454325481556598,0.2138287779432982,1.859864675872389,-0.2635843658487774,Walk-forward (val-optimal HPs)
SignalTilt(WF-xgb-default),0.3698846615260769,0.1870649736824594,1.7766501746426195,-0.1687052168593584,Walk-forward (default HPs)
SignalTilt(WF-rf-val_optimal),0.4698848704282445,0.2360767158165517,1.750853869002666,-0.2498759647756212,Walk-forward (val-optimal HPs)
SignalTilt(mom_252),0.5009836488389761,0.2568810014008786,1.7111431039778917,-0.2086686416952915,Classical
SignalTilt(WF-rf-default),0.3943328361246696,0.2207841313990274,1.6166928538204943,-0.2290800585187892,Walk-forward (default HPs)
