strategy,arch,feat_variant,loss,family,sharpe,ann_ret,ann_vol,max_dd,rank
EW-50/50,Benchmark,-,-,Benchmark,1.2543409548635691,0.11486519055163646,0.08990884359844131,-0.08731379369260882,1
RiskParity-21d,Benchmark,-,-,Benchmark,1.2474855861227259,0.07672293380667838,0.06074145549655472,-0.04491688147852113,2
LSTM_dailyrp_crra_shrinkage,LSTM,daily+RP,crra_shrinkage,DL-daily+RP,1.239605335043092,0.11451072869505863,0.09078489230409875,-0.08933552147746951,3
MLP_daily_crra_shrinkage,MLP,daily-only,crra_shrinkage,DL-daily-only,1.238982936499341,0.11387418395256499,0.09033678621092897,-0.0888238782875977,4
LSTM_daily_crra_shrinkage,LSTM,daily-only,crra_shrinkage,DL-daily-only,1.2370929331953053,0.11479928749924384,0.09120963739996946,-0.08980397481963036,5
MLP_dailyrp_crra_shrinkage,MLP,daily+RP,crra_shrinkage,DL-daily+RP,1.236789138879902,0.11577321153868181,0.09199601506258195,-0.09074095443802707,6
60/40,Benchmark,-,-,Benchmark,1.1972737644679052,0.12794327677710426,0.1051715002318876,-0.10609158725692612,7
MLP_dailyrp_sharpe,MLP,daily+RP,sharpe,DL-daily+RP,1.1305055699570263,0.120543015149567,0.10561854512765861,-0.11001901749501641,8
Transformer_daily_crra_shrinkage,Transformer,daily-only,crra_shrinkage,DL-daily-only,1.1274040325100412,0.12227808636756143,0.10743210941034004,-0.11246506077117559,9
Transformer_dailyrp_crra_shrinkage,Transformer,daily+RP,crra_shrinkage,DL-daily+RP,1.1245228845921758,0.11929348016306363,0.105121927736914,-0.11083821052329079,10
MLP_dailyrp_crra,MLP,daily+RP,crra,DL-daily+RP,1.0405413231270952,0.13515239205821383,0.12992797148401897,-0.14669073510761665,11
LSTM_daily_crra,LSTM,daily-only,crra,DL-daily-only,1.0204251407368665,0.12292999953609907,0.12076416238081501,-0.135326923638887,12
LSTM_dailyrp_crra,LSTM,daily+RP,crra,DL-daily+RP,1.013914891153696,0.11514368081485205,0.11388794169074114,-0.12443048643260217,13
MLP_daily_sharpe,MLP,daily-only,sharpe,DL-daily-only,1.0005800882231053,0.08845359997178437,0.08863121526376101,-0.08921629011064551,14
Transformer_daily_sharpe,Transformer,daily-only,sharpe,DL-daily-only,0.9886815782454443,0.1432450483063239,0.14611883146020363,-0.17070448912465924,15
MLP_daily_crra,MLP,daily-only,crra,DL-daily-only,0.983635076412836,0.10415739000560809,0.10650630760003534,-0.11178271944829704,16
Transformer_daily_crra,Transformer,daily-only,crra,DL-daily-only,0.9796682480164957,0.14585220338104143,0.15045316765391173,-0.1756111911159801,17
LSTM_dailyrp_sharpe,LSTM,daily+RP,sharpe,DL-daily+RP,0.9472611116410796,0.09619702706781941,0.10249045524740008,-0.12376849138435987,18
Transformer_dailyrp_crra,Transformer,daily+RP,crra,DL-daily+RP,0.9366654890292098,0.13767306921992994,0.14956626359072286,-0.1783413174094757,19
LSTM_daily_sharpe,LSTM,daily-only,sharpe,DL-daily-only,0.9350524473865052,0.10729691760623483,0.11619186868643791,-0.13817123970046902,20
Transformer_dailyrp_sharpe,Transformer,daily+RP,sharpe,DL-daily+RP,0.9135095721167825,0.12932410585313425,0.14448106960867788,-0.17354745347504705,21
