asset,asset_class,first_valid_return,last_valid_return,non_null_returns,missing_returns
AAPL.US,us_single_stock,2003-01-03,2026-04-30,5868,1
MSFT.US,us_single_stock,2003-01-03,2026-04-30,5868,1
GOOGL.US,us_single_stock,2004-08-20,2026-04-30,5458,411
NVDA.US,us_single_stock,2003-01-03,2026-04-30,5868,1
JPM.US,us_single_stock,2003-01-03,2026-04-30,5868,1
JNJ.US,us_single_stock,2003-01-03,2026-04-30,5868,1
XOM.US,us_single_stock,2003-01-03,2026-04-30,5868,1
WMT.US,us_single_stock,2003-01-03,2026-04-30,5868,1
XLK.US,us_sector_etf,2003-01-03,2026-04-30,5868,1
XLF.US,us_sector_etf,2003-01-03,2026-04-30,5868,1
XLE.US,us_sector_etf,2003-01-03,2026-04-30,5868,1
XLV.US,us_sector_etf,2003-01-03,2026-04-30,5868,1
XLP.US,us_sector_etf,2003-01-03,2026-04-30,5868,1
XLU.US,us_sector_etf,2003-01-03,2026-04-30,5868,1
SPY.US,broad_equity_etf,2003-01-03,2026-04-30,5868,1
IWM.US,broad_equity_etf,2003-01-03,2026-04-30,5868,1
EFA.US,intl_equity_etf,2003-01-03,2026-04-30,5868,1
EEM.US,intl_equity_etf,2003-04-14,2026-04-30,5799,70
FXI.US,intl_equity_etf,2004-10-11,2026-04-30,5423,446
SHY.US,fixed_income_etf,2003-01-03,2026-04-30,5868,1
IEF.US,fixed_income_etf,2003-01-03,2026-04-30,5868,1
TLT.US,fixed_income_etf,2003-01-03,2026-04-30,5868,1
AGG.US,fixed_income_etf,2003-09-29,2026-04-30,5683,186
HYG.US,fixed_income_etf,2007-04-12,2026-04-30,4794,1075
GLD.US,commodity_etf,2004-11-19,2026-04-30,5394,475
SLV.US,commodity_etf,2006-05-01,2026-04-30,5032,837
DBC.US,commodity_etf,2006-02-06,2026-04-30,5090,779
USO.US,commodity_etf,2006-04-11,2026-04-30,5045,824
EURUSD.FOREX,fx_spot,2003-01-03,2026-04-30,5868,1
