asset,asset_class,cluster
GLD.US,commodity_etf,1
SLV.US,commodity_etf,1
AGG.US,fixed_income_etf,2
IEF.US,fixed_income_etf,2
SHY.US,fixed_income_etf,2
TLT.US,fixed_income_etf,2
DBC.US,commodity_etf,3
USO.US,commodity_etf,3
XLE.US,us_sector_etf,3
XOM.US,us_single_stock,3
IWM.US,broad_equity_etf,4
SPY.US,broad_equity_etf,4
HYG.US,fixed_income_etf,4
EEM.US,intl_equity_etf,4
EFA.US,intl_equity_etf,4
FXI.US,intl_equity_etf,4
XLF.US,us_sector_etf,4
XLK.US,us_sector_etf,4
XLP.US,us_sector_etf,4
XLU.US,us_sector_etf,4
XLV.US,us_sector_etf,4
AAPL.US,us_single_stock,4
GOOGL.US,us_single_stock,4
JNJ.US,us_single_stock,4
JPM.US,us_single_stock,4
MSFT.US,us_single_stock,4
NVDA.US,us_single_stock,4
WMT.US,us_single_stock,5
EURUSD.FOREX,fx_spot,6
