asset,EigenPC1,EigenPC2,EigenPC3,EigenPC4,EigenPC5,asset_class
AAPL.US,0.03800628424047219,0.006399891324304352,-0.025762010263540448,0.06659167953957416,0.0035462277538616162,us_single_stock
MSFT.US,0.0409650508532677,0.01087295797798805,-0.030308092392870748,0.05688532984983476,0.011723082734955422,us_single_stock
GOOGL.US,0.03787135715800642,0.011296631777290322,-0.029153169181036533,0.06876240703496414,0.0021183614110901693,us_single_stock
NVDA.US,0.034532956684497455,0.006242705773681252,-0.017100018775965977,0.0983226105247199,0.0013199366306770322,us_single_stock
JPM.US,0.041470276081616686,-0.02577328445389648,-0.01701452681388284,-0.003627833067892695,-0.034713772401306985,us_single_stock
JNJ.US,0.0343488200521948,0.011256333357126998,-0.03396872779660664,-0.09515121220849791,0.04064244231483703,us_single_stock
XOM.US,0.040733312454267284,-0.006855508885967424,0.05072317805627087,-0.05642044635813923,-0.05281025500525263,us_single_stock
WMT.US,0.028301141896666812,0.01044750507890663,-0.04311107141310103,-0.06681305173218537,0.057248824213911,us_single_stock
XLK.US,0.05004478537750503,0.010978541976471301,-0.02817919708279339,0.06281381150206533,0.008132639378968158,us_sector_etf
XLF.US,0.047812060351030465,-0.01596307104445955,-0.01904695431069354,-0.007627305381010018,-0.029126398005371805,us_sector_etf
XLE.US,0.045277130441821294,-0.003887078085801402,0.0583693557773774,-0.03354688950955339,-0.05902629940918365,us_sector_etf
XLV.US,0.04522131302705136,0.015152407989989214,-0.03527746077353142,-0.047980419588038045,0.02544473326226435,us_sector_etf
XLP.US,0.042849266903471066,0.01770559097160085,-0.038024607239280736,-0.07810286748009584,0.035025037678748164,us_sector_etf
XLU.US,0.03762045199169847,0.03749705896840272,-0.019177232638164034,-0.07647929454629154,0.02146121838189328,us_sector_etf
SPY.US,0.055462463705866424,0.008693024254632734,-0.018739184975962175,0.010162038543167448,-0.0026464884059773453,broad_equity_etf
IWM.US,0.05059651012386213,0.004180464218434504,-0.01020636771339397,0.012996717516809255,-0.014773490652033028,broad_equity_etf
EFA.US,0.051992270804297365,0.01639267882828085,0.004051307090219681,0.003671501622835101,0.004238776550213727,intl_equity_etf
EEM.US,0.049759075731801695,0.011440830133694877,0.010815160425959236,0.022117970906509354,0.008695549062305302,intl_equity_etf
FXI.US,0.042116848548548705,0.003972204302428067,0.006897970273003935,0.028286697098224258,0.006096470205129712,intl_equity_etf
SHY.US,-0.016467007225084717,0.12444310845967564,-0.01129458049523022,-0.009902722423934507,-0.023906231533075906,fixed_income_etf
IEF.US,-0.02129569828626026,0.14412488676449176,-0.02066395611048922,-0.0016582029172505037,-0.040429097938101136,fixed_income_etf
TLT.US,-0.022006366714959084,0.1303452838298466,-0.024732055160205945,0.005553875357988467,-0.04076671747327144,fixed_income_etf
AGG.US,-0.003692929914330987,0.14427602268496328,-0.017404749343025563,-0.0007441360655098139,-0.05441612518421847,fixed_income_etf
HYG.US,0.039473885636812624,0.036496451781075655,-0.007056051800339961,0.0016929074608792443,-0.04209856505499142,fixed_income_etf
GLD.US,0.005494725589622716,0.08176760315598307,0.09162390000257942,0.012552040294214311,0.12027102463577938,commodity_etf
SLV.US,0.01532052019985964,0.06735813136553256,0.09357581912183141,0.0210987363404168,0.1151830693016258,commodity_etf
DBC.US,0.028724732160411808,0.00809599679111242,0.11759991642651671,-0.005574061928405017,-0.042284299415931086,commodity_etf
USO.US,0.025392770688596897,-0.007656100397094833,0.10701144370843527,-0.016034600203943913,-0.08028403610984193,commodity_etf
EURUSD.FOREX,0.00714998715611802,0.02042864536686663,0.013111934837691618,0.02882863299704954,0.021570829895183226,fx_spot
