dominant_regime,factor,count,mean_daily_return,annualized_volatility,diagnostic_annualized_sharpe
0,EigenPC1,1261,0.0005206251483160336,0.16083664228259598,0.8157192012571459
0,EigenPC2,1261,9.622168908921357e-05,0.0638660271918995,0.37966766865932944
0,EigenPC3,1261,8.525270365204412e-05,0.0945139099599067,0.2273070845278606
1,EigenPC1,1332,0.00041415932139159453,0.14473150766919518,0.7211156069017837
1,EigenPC2,1332,0.00032387637082172344,0.05582992904286799,1.46188338130264
1,EigenPC3,1332,7.516625680527379e-05,0.08127765588433367,0.23305171032350186
2,EigenPC1,148,0.0013011496640371648,0.1045215414104034,3.1370539595269453
2,EigenPC2,148,0.00045161457564300795,0.07697370647362102,1.4785162138585566
2,EigenPC3,148,0.0009153421271338953,0.12476230099646544,1.84884547812465
3,EigenPC1,64,0.0015163325810218292,0.09222743147865926,4.143190418416019
3,EigenPC2,64,0.0005735396004443987,0.03711438943049402,3.8942302845278047
3,EigenPC3,64,9.508161165631734e-05,0.07246896210205321,0.3306321139752202
4,EigenPC1,148,0.0007006185679280342,0.12992130564155,1.3589447723453332
4,EigenPC2,148,0.0006601644655940356,0.04644184141400455,3.5821457604721645
4,EigenPC3,148,-0.0002942912367628236,0.0882546187937171,-0.8403117330048584
5,EigenPC1,799,-0.00013274599864020845,0.24446225789284995,-0.13683908487826718
5,EigenPC2,799,-5.733567426376777e-05,0.07267624693780085,-0.19880759564861877
5,EigenPC3,799,-0.0008559642393509761,0.12169219396100996,-1.7725293734580625
6,EigenPC1,126,0.0007457165595155655,0.10832589140610299,1.7347706126269202
6,EigenPC2,126,2.0542403920443012e-05,0.0709376140913397,0.0729751888932451
6,EigenPC3,126,0.0002945389180276585,0.12952070075708103,0.5730652081799523
7,EigenPC1,916,0.0008141874972274423,0.20075960643566676,1.0219946778340776
7,EigenPC2,916,0.0003735188331950341,0.05839269016624393,1.6119611152897708
7,EigenPC3,916,-5.2250189934062594e-05,0.10286102482099067,-0.12800813414311615
