asset,asset_class,mean_daily_return,annualized_volatility,missing_returns_full_panel,complete_sample_observations
AAPL.US,us_single_stock,0.0011506306723816208,0.31265626540656966,0,4794
MSFT.US,us_single_stock,0.0007853395119317351,0.27989776274275896,0,4794
GOOGL.US,us_single_stock,0.0009079530668907594,0.29869620463779617,410,4794
NVDA.US,us_single_stock,0.0017507800399650926,0.4912828862904072,0,4794
JPM.US,us_single_stock,0.0007631908826097375,0.374524692465506,0,4794
JNJ.US,us_single_stock,0.0004517991086526785,0.17684323920467168,0,4794
XOM.US,us_single_stock,0.000429394397947216,0.270798293957018,0,4794
WMT.US,us_single_stock,0.000610703441455516,0.20888426615960276,0,4794
XLK.US,us_sector_etf,0.0007030787410974328,0.23276379182905038,0,4794
XLF.US,us_sector_etf,0.0003842200636251385,0.30423963946844595,0,4794
XLE.US,us_sector_etf,0.00043822449519677494,0.303725540403824,0,4794
XLV.US,us_sector_etf,0.0004285888507594153,0.17248887600790394,0,4794
XLP.US,us_sector_etf,0.0003859952341150957,0.14595476783629857,0,4794
XLU.US,us_sector_etf,0.0003837434860590628,0.19194006153381568,0,4794
SPY.US,broad_equity_etf,0.00048613697623897526,0.19760378298540354,0,4794
IWM.US,broad_equity_etf,0.00043503406353917153,0.24819231627351857,0,4794
EFA.US,intl_equity_etf,0.00026913544541365614,0.21765683411321887,0,4794
EEM.US,intl_equity_etf,0.00033698879665347375,0.2819901512571627,69,4794
FXI.US,intl_equity_etf,0.00032012400140363407,0.3376599636627465,445,4794
SHY.US,fixed_income_etf,7.346068287490185e-05,0.015246497771298896,0,4794
IEF.US,fixed_income_etf,0.00013859492973638157,0.06982102831285372,0,4794
TLT.US,fixed_income_etf,0.0001643652829643758,0.15193384291611564,0,4794
AGG.US,fixed_income_etf,0.00012453963108391197,0.054095221019649566,185,4794
HYG.US,fixed_income_etf,0.00021687556427803627,0.10931133073906125,1074,4794
GLD.US,commodity_etf,0.0004490857687809037,0.18021027950802412,474,4794
SLV.US,commodity_etf,0.0005464489320681453,0.32816979782664163,836,4794
DBC.US,commodity_etf,0.00015925543337420734,0.1924130131809878,778,4794
USO.US,commodity_etf,6.982634586289322e-05,0.3736052091861517,823,4794
EURUSD.FOREX,fx_spot,-9.866038876040116e-06,0.09829169239711258,0,4794
